show_id,director_name
10192,Mike Mitchell
27205,Christopher Nolan
12444,David Yates
38757,Byron Howard
38757,Nathan Greno
10191,Chris Sanders
10191,Dean DeBlois
11324,Martin Scorsese
38575,Harald Zwart
10138,Jon Favreau
38365,Dennis Dugan
48650,Julio Medem
20352,Pierre Coffin
20352,Chris Renaud
10193,Lee Unkrich
24021,David Slade
12155,Tim Burton
73861,Srđan Spasojević
38234,Isaac Florentine
37799,David Fincher
61979,Fernando González Molina
32657,Chris Columbus
23168,Ben Affleck
34851,Nimród Antal
38055,Tom McGrath
10140,Michael Apted
27578,Sylvester Stallone
18823,Louis Leterrier
44214,Darren Aronofsky
23483,Matthew Vaughn
20526,Joseph Kosinski
52629,Luis Estrada
26389,Pierre Morel
10196,M. Night Shyamalan
27581,Adam McKay
47931,José Padilha
9543,Mike Newell
22538,Edgar Wright
22894,Scott Stewart
51608,Lee Jeong-beom
43947,Steven R. Monroe
44115,Danny Boyle
39514,Robert Schwentke
573531,Hideki Futamura
573531,Tomoki Kyoda
573531,Koichi Mashimo
573531,Yasushi Muraki
573531,Daisuke Nishio
573531,Koji Sawai
573531,Hiroshi Yamazaki
573531,Takahiro Tanaka
573531,Hiroyuki Kawasaki
573531,Megumi Shimizu
573531,Keiichi Sugiyama
573531,Shinji Aramaki
573531,Toshiyuki Kanno
573531,Mamoru Oshii
35552,Luc Besson
27576,Phillip Noyce
46738,Denis Villeneuve
44918,Shane van Dyke
43949,Rob Reiner
43347,Edward Zwick
35019,Susanna White
43593,Alexandre Aja
44683,Bradley Raymond
20504,Albert Hughes
20504,Allen Hughes
7978,Joe Johnston
48466,Gary Trousdale
34544,Joe Carnahan
38167,Ryan Murphy
26022,Karan Johar
50723,Masahiko Murata
49797,Kim Jee-woon
51620,Roel Reiné
46705,Derek Cianfrance
33217,Thor Freudenthal
20662,Ridley Scott
51739,Hiromasa Yonebayashi
25195,Anand Tucker
27022,Jon Turteltaub
34016,Jim Field Smith
44363,Adam Green
41439,Kevin Greutert
37834,James Mangold
46838,Eli Craig
37707,Vincenzo Natali
38358,Daniel Stamm
41733,Todd Phillips
23437,Samuel Bayer
22907,John Luessenhop
40205,Peter DeLuise
45269,Tom Hooper
23169,Allen Coulter
37735,Will Gluck
44048,Tony Scott
44874,William Lau
37786,Michael Patrick King
37645,Richard Berry
41283,George Tillman Jr.
41436,Tod Williams
37710,Florian Henckel von Donnersmarck
41233,Jon M. Chu
44264,Joel Coen
44264,Ethan Coen
43539,Paul Haggis
37056,Gary Winick
23048,Steve Pink
40264,Jason Friedberg
40264,Aaron Seltzer
23172,Brian Levant
43209,Tony Jaa
43209,Panna Rittikrai
50727,Kim Dae-woo
47533,Brian Levant
25602,Isaac Florentine
107748,Gustavo Bolívar
34134,Adam Wood
23023,Michael Lembeck
41216,Zack Snyder
27579,Anton Corbijn
38199,Gregor Jordan
49009,Peter Weir
23631,Robert Rodriguez
23631,Ethan Maniquis
25642,Alex Winter
26388,Rodrigo Cortés
43939,Casey Affleck
63319,Rebecca Zlotowski
37950,Burr Steers
42684,Greg Strause
42684,Colin Strause
63455,Yusuke Narita
28211,Atom Egoyan
13477,Mark Steven Johnson
47626,John Puglisi
46146,André Øvredal
65496,Emmanuelle Bercot
19901,Michael Spierig
19901,Peter Spierig
42188,Mark Romanek
39451,Paul Weitz
39451,Greg Glienna
27573,Andy Tennant
11439,Roman Polanski
41402,Matt Reeves
59429,Toshikazu Nagae
42941,Ben Ketai
60534,Baran bo Odar
46261,Troy Nixey
45317,David O. Russell
30675,Sam Liu
73245,Noriyuki Abe
73245,Yoshifumi Sueda
73245,Yuzuru Tachikawa
73245,Kazunori Mizuno
29427,Breck Eisner
23759,Neil Marshall
42297,Steve Antin
55241,Tibor Takács
34803,Neil LaBute
33909,Oliver Stone
20533,Jimmy Hayward
51200,John H. Lee
399897,Shintarô Ashizuka
32856,Garry Marshall
38745,Rob Letterman
12201,Martin Campbell
51736,Fernanda Cardoso
34813,Sylvain White
88212,Stevie Wermers-Skelton
88212,Kevin Deters
22971,Lasse Hallström
40662,Brandon Vietti
38408,Greg Berlanti
111332,Thomas C. Grane
42949,Luc Besson
54186,Tetsuya Nakashima
46304,Yuji Yamaguchi
46304,Kenichi Takeshita
43641,Joaquim Dos Santos
31967,Lee Seung-Gyu
31967,Victor Cook
31967,Jong-Sik Nam
31967,Mike Disa
31967,Yasuomi Umetsu
31967,Shuko Murase
31967,Sangjin Kim
51533,Jiang Wen
32823,Nicholas Stoller
58496,Asif Kapadia
23742,Kevin Smith
97375,Yasuichiro Yamamoto
45752,Ethan Spaulding
43549,Paul T. Scheuring
51170,Cody Cameron
183443,Eric Radomski
183443,Audu Paden
42888,James L. Brooks
39957,Carlos Brooks
58857,Takashi Miike
39486,Randall Wallace
44603,Clint Eastwood
43930,Stuart Beattie
45162,Lauren Montgomery
35558,Michael Grossman
37821,Robert Luketic
59421,Jang Cheol-soo
52274,Guillem Morales
16290,Jeff Tremaine
34751,Will Geiger
47407,Scott Wheeler
41515,Eric Brevig
49953,Ben Stassen
36865,Yasuhiro Takemoto
36865,Tatsuya Ishihara
35056,Shawn Levy
103450,Yûichi Onuma
44040,John Erick Dowdle
41180,Eric Laneuville
72013,Kenichi Takeshita
34806,Alan Poul
50087,Kunihiko Yuyama
44945,David Schwimmer
37757,Andrew Kasch
37757,Daniel Farrands
46332,Xavier Beauvois
45657,John Carpenter
43956,Jeff Siergey
43956,Spike Brandt
50542,Zhang Yimou
39013,Debra Granik
43933,Gareth Edwards
45284,Takeshi Kitano
44092,Su Chaobin
49852,Andrei Konchalovsky
45132,James Gunn
43919,Adam Green
63700,Bruce McDonald
51256,Walt Dohrn
39681,Podz
38579,Tom Dey
27585,John Cameron Mitchell
44639,Charles Ferguson
26390,Antoine Fuqua
89636,Yoshihiro Ueda
22972,Paul Greengrass
50037,Panos Cosmatos
33602,Mick Jackson
43552,Brad Anderson
56743,Nicole Conn
56832,Shinsuke Sato
39691,Brad Peyton
41210,Will Speck
41210,Josh Gordon
50388,Kazuyoshi Katayama
12819,Anthony Bell
12819,Ben Gluck
38357,Roger Michell
49787,Andrew Traucki
30061,Lauren Montgomery
30061,Sam Liu
46420,Sean Byrne
41215,Christopher Smith
42194,Dwight H. Little
38363,Doug Liman
86184,Kōzō Kusuba
43923,Anna Boden
43923,Ryan Fleck
183392,Laurent Bouzereau
37414,Michael Winterbottom
52208,Joseph Guzman
48838,William Monahan
35690,Julie Anne Robinson
45958,Alejandro González Iñárritu
37034,Yuen Woo-Ping
54551,Kyle Balda
54551,Samuel Tourneux
46503,Andrew Jarecki
50475,Kim Hyoung-jun
60695,Mark Piznarski
50135,Reinhard Klooss
50135,Holger Tappe
52333,Wagner de Assis
117352,Akira Shigino
40080,Stephen Herek
44244,Paul Hoen
8952,John Requa
8952,Glenn Ficarra
101669,Darren Lynn Bousman
36956,Silvio Soldini
32206,Justin Jones
38303,Andy Fickman
48395,Jalmari Helander
47909,Lee Chang-dong
59468,Emilio Estevez
38073,Nanette Burstein
270413,Takashi Hashimoto
278427,Peter Shin
48034,Guillaume Canet
37495,Chris Morris
47854,Andrew Lau Wai-Keung
38368,Apichatpong Weerasethakul
44982,Gela Babluani
38778,Jay Roach
23830,Massy Tadjedin
74658,Iginio Straffi
57361,Na Hong-jin
12685,Uwe Boll
43263,Robert Harmon
44147,Jonathan Lynn
33473,Rob Hardy
29920,Daniel Espinosa
41411,Roselyne Bosch
37905,Yannick Dahan
37905,Benjamin Rocher
41505,Björn Stein
41505,Måns Mårlind
41110,Luca Guadagnino
45202,Im Sang-soo
48186,Eric Bross
70000,Jun Tsugita
47904,Rachid Bouchareb
43931,Wes Craven
51072,Pierre Salvadori
37048,Seiji Mizushima
52015,Jim Mickle
33427,Howard E. Baker
62989,Paul Ziller
36950,Barry Levinson
38843,Elizabeth Allen Rosenbaum
61722,Michael Steiner
57703,Trần Anh Hùng
38961,Stephen Frears
45556,Brian Trenchard-Smith
71172,Shinji Takamatsu
148284,Shankar
34179,Daniel Lee
44113,John Curran
57059,Antoinette Beumer
41479,Derrick Borte
44129,John Wells
59457,Benedek Fliegauf
46441,Víctor García
50393,Tim Johnson
46713,Keoni Waxman
27583,Noah Baumbach
35138,Ding Sheng
38093,Sanaa Hamri
39210,Sofia Coppola
66113,Simone North
50838,Michael Greenspan
41592,Max Giwa
41592,Dania Pasquini
63555,Michael Rowe
11761,Michael Lander
39781,Lisa Cholodenko
52505,Don Roos
46528,Lee Seung-moo
41201,Sylvain Chomet
39522,Eric Forsberg
39522,Stuart Gillard
43920,Kim Chapiron
148608,Rob Gibbs
41211,Pascal Chaumeil
609197,Takashi Ikehata
44716,Susanne Bier
27569,Tom Vaughan
109149,Kenta Fukasaku
31867,Miguel Sapochnik
57695,Bertrand Tavernier
39452,Banksy
68523,Lucifer Valentine
55890,Stevan Mena
46837,Gregg Araki
39312,Tim Hetherington
39312,Sebastian Junger
48289,John Madden
40170,Kevin Tancharoen
54553,Samuel Tourneux
54553,Kyle Balda
44221,Lawrence Trilling
44037,Griff Furst
29426,George A. Romero
301307,Michael Simmons
51447,François Ozon
52454,Christopher Ray
30618,Guy Moshe
38031,Woody Allen
52850,S.J. Clarkson
315620,Toby Haynes
43754,Mark Young
53457,Gilles Paquet-Brenner
43434,Olivier Assayas
65760,Larysa Kondracki
35691,David Nixon
35691,Patrick Doughtie
44629,David Michôd
48844,Robert Vince
48492,Tsui Hark
57448,Pierre Thoretton
33555,Rachel Lee Goldenberg
47519,Takao Nakano
41382,Erik White
52010,Martyn Pick
49350,Ron Oliver
43418,Jeremy Sims
39413,Jean Becker
64246,Keiichi Hara
52587,Dennis Gansel
50674,Mikael Salomon
36970,Jacques Perrin
41556,Galt Niederhoffer
40016,James Nguyen
27584,John Stalberg Jr.
27586,Floria Sigismondi
73529,Susumu Kudo
37708,Andy Hurst
118301,Yoshikazu Miyao
35169,Roger Kumble
44734,Kenji Kamiyama
39800,Todd Solondz
37737,Anurag Basu
48871,Sheldon Wilson
61984,Takashi Yamazaki
47518,Rob Lieberman
45569,Patrick Hughes
55165,Andreas Öhman
46138,Nigel Cole
148607,John Lasseter
45662,John H. Williams
38570,Craig Moss
34583,Joey Stewart
43922,Mel Damski
39356,Taika Waititi
48415,Luca Miniero
66195,Nicholas Tomnay
61005,Craig Pryce
33570,Donald Wrye
34764,Vijay Lalwani
44835,Spencer Susser
50618,Aleksandr Kott
46103,Lauro David Chartrand-DelValle
56812,Álex de la Iglesia
44718,Aaron Schneider
49706,Edmond Pang Ho-Cheung
37931,Jorma Taccone
42889,Huck Botko
42889,Andrew Gurland
44009,Mike Leigh
31007,Jake Scott
62489,Rolf Peter Kahl
50337,Peter Chung
44638,Julie Taymor
50204,John Landis
44560,Feng Xiaogang
28396,José Luis Alemán
36801,Ricky Gervais
36801,Stephen Merchant
50848,Michel Leclerc
148606,Rob Gibbs
49087,Kang Woo-suk
46207,Claire Denis
37932,Michael Damian
53807,Manfred Wong Man-Chun
53807,Raymond Yip Wai-Man
35688,Tyler Perry
51250,Jessy Terrero
46665,Pascal Franchot
32916,Spike Brandt
32916,Tony Cervone
70695,Abe Sylvia
63348,David A.R. White
59490,Werner Herzog
45272,Shana Feste
73211,Marius Holst
46020,Declan O'Brien
77235,John Lyde
45649,Quentin Dupieux
68252,Kim Min-suk
743885,Hiroshi Kashiwakura
46812,Dario Piana
52077,Dany Boon
34182,Hu Mei
35458,Tim Allen
51991,Jean-Pierre Améris
63498,Javier Mariscal
63498,Fernando Trueba
63498,Tono Errando
35402,Dolph Lundgren
45094,Tony Goldwyn
51241,Xavier Dolan
62592,James Hayman
46920,Daniele Luchetti
29564,P.J. Pesce
44944,Tyler Perry
54700,Tom Provost
33107,Marcos Efron
38568,Jeffrey Friedman
38568,Rob Epstein
113727,Walter Doehner
46829,Richard J. Lewis
56937,Mikkel Brænne Sandemose
148605,John Lasseter
42307,Dean Francis
29159,Dario Argento
36085,Christian Ditter
45324,George Hickenlooper
38033,Deon Taylor
44425,Abhinav Kashyap
48392,Ola Simonsson
48392,Johannes Stjärne Nilsson
38318,Nikita Mikhalkov
58051,Sajid Khan
32926,Togan Gökbakar
62321,Athina Rachel Tsangari
59507,Antony Cordier
54559,Samuel Tourneux
54559,Kyle Balda
32845,David DeFalco
36940,Paolo Virzì
58156,Lisa Langseth
59435,Marilyn Agrelo
62728,Rowan Joffe
40794,Ferzan Özpetek
70761,Nanouk Leopold
41345,Mo Ali
51888,Chris McKay
48303,Abbas Kiarostami
53172,Malcolm Venville
58718,Andrew Hull
45077,Richard Levine
55061,Geoffrey Sax
67203,Víctor García
44027,Werner Herzog
44992,Toni Myers
41413,Federico Moccia
49001,Gilles Marchand
63727,Manuel Carballo
34335,Chris Shadley
51071,Eric Lartigau
41135,Fouad Mikati
50090,Jang Hoon
54441,Michele Placido
51450,Luc Vinciguerra
50461,Hiroaki Matsuyama
38448,Neil Jordan
12645,Baltasar Kormákur
80188,Michael Morrissey
42296,Henry Joost
42296,Ariel Schulman
354870,David Notman-Watt
44678,Kaare Andrews
43943,Philip Seymour Hoffman
38407,Mikael Håfström
234284,Yasuhiro Yoshiura
38180,Joaquim Dos Santos
42189,Shannon Hartman
53404,Alain Corneau
59944,Naoto Kumazawa
38150,Philip Ridley
57627,Puttipong Promsaka Na Sakolnakorn
57627,Wasin Pokpong
36515,Catherine Cyran
121576,Giacomo Campiotti
62439,Kim Yeong-tak
31900,Joann Sfar
42950,Dallas Jenkins
